level;cnpj8;tax_municipality;cnpj
1;78956968;BR-4114807;78956968005495
1;78956968;BR-4111100;78956968000426
1;77294254;BR-1503606;77294254008098
1;77294254;BR-5107065;77294254004939
1;77294254;BR-5102686;77294254005153
1;81584278;BR-4114609;81584278000155
1;77294254;BR-5106224;77294254004262
1;77294254;BR-5100201;77294254001832
1;5683277;BR-5107792;5683277000694
1;32441636;BR-3550308;32441636000408
1;32441636;BR-4118204;32441636000750
1;32441636;BR-4315602;32441636003938
1;5420042;BR-4113700;5420042000103
1;32441636;BR-2101400;32441636004900
1;32441636;BR-5107768;32441636004314
1;32441636;BR-4115200;32441636005558
1;2003402;BR-2109007;2003402013900
1;5683277;BR-5107040;5683277000503
1;10515785;BR-2109502;10515785002051
1;18483666;BR-3550308;18483666000103
1;21294708;BR-5218805;21294708000415
1;4854422;BR-5107040;4854422000185
1;315457;BR-5103403;315457000195
1;10515785;BR-2101400;10515785002728
1;2003402;BR-2919553;2003402008230
1;88676127;BR-4314902;88676127000176
1;9597095;BR-2201150;9597095000147
1;10515785;BR-2101400;10515785002566
1;7634590;BR-2101400;7634590000820
1;315457;BR-5104609;315457000357
1;315457;BR-5104609;315457000942
1;18200245;BR-1506138;18200245000128
1;12006181;BR-3170206;12006181000142
1;9409968;BR-5107602;9409968000140
1;10515785;BR-5208707;10515785000199
1;77856995;BR-4104808;77856995001789
1;77753275;BR-4104808;77753275000554
1;60892098;BR-3512803;60892098000160
1;77129468;BR-4120903;77129468000105
1;98248644;BR-4317202;98248644000602
1;88676127;BR-4322806;88676127000257
1;60498706;BR-5008305;60498706029481
1;18483666;BR-5107040;18483666000294
1;18483666;BR-4113700;18483666000456
1;2003402;BR-5102678;2003402002038
1;9508910;BR-5107602;9508910000154
1;81175416;BR-4123501;81175416000657
1;81175416;BR-4104808;81175416001467
1;81175416;BR-4124053;81175416000142
1;91494765;BR-4312658;91494765000180
1;77753275;BR-4125704;77753275000392
1;77753275;BR-4106902;77753275000120
1;77198794;BR-4128005;77198794000174
1;77804847;BR-4123808;77804847000153
1;77863223;BR-4117909;77863223000107
1;75904383;BR-4200101;75904383003732
1;1655275;BR-5000906;1655275000126
1;77856995;BR-4102000;77856995001436
1;94813102;BR-4310207;94813102000846
1;94813102;BR-4316436;94813102000412
1;94813102;BR-4310009;94813102000331
1;94813102;BR-4316709;94813102000170
1;5257285;BR-4104204;5257285000326
1;4463344;BR-4200556;4463344000198
1;5528196;BR-4118501;5528196000105
1;2987873;BR-4309902;2987873000165
1;7810032;BR-4301602;7810032000100
1;80671;BR-5210109;80671002153
1;80671;BR-5211503;80671000100
1;5257285;BR-4104501;5257285000164
1;26611600;BR-5107040;26611600191
1;2003402;BR-3205309;2003402000175
1;38406187;BR-2903201;38406187034
1;4409153;BR-4106902;4409153000148
1;32441636;BR-3548500;32441636000599
1;2003402;BR-5107040;2003402006378
1;2003402;BR-5107040;2003402002542
1;5492968;BR-3550308;5492968000104
1;10962697;BR-2919553;10962697000135
1;32441636;BR-3304557;32441636000165
1;15660513;BR-4117909;15660513000104
1;91362590;BR-4316501;91362590000409
1;77856995;BR-4117909;77856995000111
1;79114450;BR-4115200;79114450000165
1;47067525;BR-3550308;47067525000108
1;76093731;BR-4103453;76093731000190
1;80671;BR-5107925;80671002668
1;84046101;BR-4205902;84046101000193
1;77856995;BR-4109757;77856995003560
1;2077618;BR-5218805;2077618000185
1;969790;BR-3103504;969790000541
1;77856995;BR-4125753;77856995002327
1;2077618;BR-5218805;2077618000266
1;77890846;BR-4109401;77890846000179
1;60498706;BR-4119905;60498706036267
1;89844922;BR-4307906;89844922000199
1;10915101;BR-5107602;10915101000146
1;77294254;BR-5103403;77294254000194
1;77890846;BR-4119301;77890846000250
1;21294708;BR-3550308;21294708000172
1;80671;BR-5220405;80671000371
1;84046101;BR-4315602;84046101030181
1;75904383;BR-4104303;75904383008106
1;13797986;BR-2919553;13797986000114
1;77804847;BR-4123808;77804847000234
1;5489028;BR-5106372;5489028000158
1;77863223;BR-4200101;77863223002312
1;969790;BR-5208707;969790000118
1;315457;BR-5107875;315457002058
1;315457;BR-5102637;315457002139
1;80671;BR-4101408;80671001262
1;1236287;BR-4113700;1236287000116
1;53309845;BR-3170107;53309845000472
1;4409153;BR-5103403;4409153000733
1;5787644;BR-1709302;5787644000195
1;2219378;BR-2100055;2219378000610
1;2072608;BR-5107925;2072608000157
1;10962697;BR-2909307;10962697000216
1;7476312;BR-4313334;7476312000115
1;10642138;BR-5107040;10642138000148
1;7118089;BR-3504107;7118089000134
1;91023168;BR-4311205;91023168000178
1;77753275;BR-4110953;77753275000473
1;28284918;BR-5200134;28284918000129
1;25333824;BR-3170107;25333824000104
2;84046101;BR-4101903;84046101038590
2;84046101;BR-4117701;84046101039995
2;84046101;BR-4126405;84046101025420
2;84046101;BR-2919553;84046101005071
