product_type;exporter_cnpj;vol;port_of_export;country_of_destination
SOYBEAN CAKE;12377000160;19125341.773;SANTOS;INDONESIA
SOYBEANS;80671000100;18810310.0;PARANAGUA;BANGLADESH
SOYBEANS;80671000100;20800252.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;80671000100;19784.89;PARANAGUA;INDIA
SOYBEAN CAKE;80671000100;36059740.5;SANTOS;INDONESIA
SOYBEAN CAKE;80671000100;619631.0;SANTOS;TURKEY
SOYBEANS;80671000371;263202.0;PARANAGUA;BANGLADESH
SOYBEAN OIL;80671000371;1011215.11;PARANAGUA;INDIA
SOYBEAN CAKE;80671000371;10310000.0;SANTOS;INDONESIA
SOYBEANS;80671001181;11400000.0;SANTOS;CHINA (MAINLAND)
SOYBEAN CAKE;80671001181;29777305.915;SANTOS;INDONESIA
SOYBEAN CAKE;80671001181;28223625.0;SANTOS;NETHERLANDS
SOYBEANS;80671001181;18000000.0;SANTOS;VIETNAM
SOYBEAN OIL;80671001262;360850.0;PARANAGUA;INDIA
SOYBEAN CAKE;80671001262;63406499.99999999;SANTOS;INDONESIA
SOYBEANS;80671001343;1300000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;80671001343;26084.3;PARANAGUA;INDIA
SOYBEAN CAKE;80671001424;2448625.0;SANTOS;INDONESIA
SOYBEANS;80671001777;12000000.0;SANTOS;CHINA (MAINLAND)
SOYBEAN CAKE;80671001777;30771226.0;SANTOS;NETHERLANDS
SOYBEANS;80671002153;926480.0;PARANAGUA;BANGLADESH
SOYBEANS;80671002153;144788.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN CAKE;80671002668;7974277.7480000025;SANTOS;AUSTRALIA
SOYBEAN CAKE;80671002668;32210833.981999997;SANTANA;GERMANY
SOYBEANS;80671002668;23664012.0;SANTANA;GERMANY
SOYBEAN CAKE;80671002668;5546936.712000001;SANTOS;GREECE
SOYBEAN CAKE;80671002668;24966.696;SANTOS;TAIWAN
SOYBEAN CAKE;80671002668;7014222.92;SANTOS;TURKEY
SOYBEAN CAKE;80671007465;39016689.74;IMBITUBA;GERMANY
SOYBEANS;80671007465;8994000.0;IMBITUBA;UKRAINE
SOYBEANS;315457000195;75060.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;315457000195;21345544.0;PARANAGUA;EUROPEAN UNION
SOYBEANS;315457000195;72817788.0;PARANAGUA;NORWAY
SOYBEANS;315457000195;30000000.0;PARANAGUA;UNITED STATES VIRGIN ISLANDS
SOYBEANS;315457000357;30000000.0;PARANAGUA;NORWAY
SOYBEANS;315457000519;1583082.0;SANTOS;PHILIPPINES
SOYBEANS;315457000942;229272.0;SANTOS;CHINA (MAINLAND)
SOYBEANS;315457002058;2872100.0;SANTOS;CHINA (MAINLAND)
SOYBEANS;315457002139;800000.0;SANTOS;CHINA (MAINLAND)
SOYBEANS;546997000180;820500.0;PARANAGUA;BANGLADESH
SOYBEAN CAKE;546997000180;16024559.785;PARANAGUA;DENMARK
SOYBEAN CAKE;546997000180;2743065.1969999997;SALVADOR;GERMANY
SOYBEAN OIL;546997000180;2061335.005;PARANAGUA;INDIA
SOYBEAN CAKE;546997000180;37252857.002;PARANAGUA;POLAND
SOYBEAN CAKE;546997000180;8247999.999999999;SALVADOR;ROMANIA
SOYBEANS;546997000180;4868972.0;PARANAGUA;THAILAND
SOYBEAN OIL;546997000260;10930620.76;PARANAGUA;INDIA
SOYBEANS;831373000295;86069565.0;SANTOS;CHINA (MAINLAND)
SOYBEAN CAKE;831373003715;58973199.99999999;SANTOS;SINGAPORE
SOYBEAN CAKE;965703000154;3975728.797;SANTOS;JAPAN
SOYBEANS;969790000118;6800000.0;VITORIA;CHINA (MAINLAND)
SOYBEAN CAKE;969790000541;7850756.7310000025;SANTOS;AUSTRALIA
SOYBEAN CAKE;969790000541;1864211.929;SANTOS;CANADA
