product_type,exporter_cnpj,vol,port_of_export,country_of_destination,level,cnpj8,tax_municipality,cnpj,exporter_cnpj_8,branch,tax_municipality_type
SOYBEAN CAKE,12377000160,19125341.773,SANTOS,INDONESIA,2,12377,BR-5218805,12377000160,1237700,Branch 2,logistics hub
SOYBEANS,80671000100,18810310.0,PARANAGUA,BANGLADESH,1,80671,BR-5211503,80671000100,8067100,Branch 1,logistics hub
SOYBEANS,80671000100,20800252.0,PARANAGUA,CHINA (MAINLAND),1,80671,BR-5211503,80671000100,8067100,Branch 1,logistics hub
SOYBEAN OIL,80671000100,19784.89,PARANAGUA,INDIA,1,80671,BR-5211503,80671000100,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671000100,36059740.5,SANTOS,INDONESIA,1,80671,BR-5211503,80671000100,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671000100,619631.0,SANTOS,TURKEY,1,80671,BR-5211503,80671000100,8067100,Branch 1,logistics hub
SOYBEANS,80671000371,263202.0,PARANAGUA,BANGLADESH,1,80671,BR-5220405,80671000371,8067100,Branch 1,logistics hub
SOYBEAN OIL,80671000371,1011215.11,PARANAGUA,INDIA,1,80671,BR-5220405,80671000371,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671000371,10310000.0,SANTOS,INDONESIA,1,80671,BR-5220405,80671000371,8067100,Branch 1,logistics hub
SOYBEANS,80671001181,11400000.0,SANTOS,CHINA (MAINLAND),5,80671,BR-3548500,80671001181,8067100,out of scope,
SOYBEAN CAKE,80671001181,29777305.915,SANTOS,INDONESIA,5,80671,BR-3548500,80671001181,8067100,out of scope,
SOYBEAN CAKE,80671001181,28223625.0,SANTOS,NETHERLANDS,5,80671,BR-3548500,80671001181,8067100,out of scope,
SOYBEANS,80671001181,18000000.0,SANTOS,VIETNAM,5,80671,BR-3548500,80671001181,8067100,out of scope,
SOYBEAN OIL,80671001262,360850.0,PARANAGUA,INDIA,1,80671,BR-4101408,80671001262,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671001262,63406499.99999999,SANTOS,INDONESIA,1,80671,BR-4101408,80671001262,8067100,Branch 1,logistics hub
SOYBEANS,80671001343,1300000.0,PARANAGUA,CHINA (MAINLAND),3,80671,BR-4101408,80671001343,8067100,out of scope,
SOYBEAN OIL,80671001343,26084.3,PARANAGUA,INDIA,3,80671,BR-4101408,80671001343,8067100,out of scope,
SOYBEAN CAKE,80671001424,2448625.0,SANTOS,INDONESIA,4,80671,BR-3502309,80671001424,8067100,out of scope,
SOYBEANS,80671001777,12000000.0,SANTOS,CHINA (MAINLAND),4,80671,BR-3536703,80671001777,8067100,out of scope,
SOYBEAN CAKE,80671001777,30771226.0,SANTOS,NETHERLANDS,4,80671,BR-3536703,80671001777,8067100,out of scope,
SOYBEANS,80671002153,926480.0,PARANAGUA,BANGLADESH,1,80671,BR-5210109,80671002153,8067100,Branch 1,logistics hub
SOYBEANS,80671002153,144788.0,PARANAGUA,CHINA (MAINLAND),1,80671,BR-5210109,80671002153,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671002668,7974277.748000002,SANTOS,AUSTRALIA,1,80671,BR-5107925,80671002668,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671002668,32210833.982,SANTANA,GERMANY,1,80671,BR-5107925,80671002668,8067100,Branch 1,logistics hub
SOYBEANS,80671002668,23664012.0,SANTANA,GERMANY,1,80671,BR-5107925,80671002668,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671002668,5546936.712000001,SANTOS,GREECE,1,80671,BR-5107925,80671002668,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671002668,24966.696,SANTOS,TAIWAN,1,80671,BR-5107925,80671002668,8067100,Branch 1,logistics hub
SOYBEAN CAKE,80671002668,7014222.92,SANTOS,TURKEY,1,80671,BR-5107925,80671002668,8067100,Branch 1,logistics hub
SOYBEANS,315457000195,75060.0,PARANAGUA,CHINA (MAINLAND),1,315457,BR-5103403,315457000195,3154570,Branch 1,logistics hub
SOYBEANS,315457000195,21345544.0,PARANAGUA,EUROPEAN UNION,1,315457,BR-5103403,315457000195,3154570,Branch 1,logistics hub
SOYBEANS,315457000195,72817788.0,PARANAGUA,NORWAY,1,315457,BR-5103403,315457000195,3154570,Branch 1,logistics hub
SOYBEANS,315457000195,30000000.0,PARANAGUA,UNITED STATES VIRGIN ISLANDS,1,315457,BR-5103403,315457000195,3154570,Branch 1,logistics hub
SOYBEANS,315457000357,30000000.0,PARANAGUA,NORWAY,1,315457,BR-5104609,315457000357,3154570,Branch 1,logistics hub
SOYBEANS,315457000519,1583082.0,SANTOS,PHILIPPINES,4,315457,BR-5107602,315457000519,3154570,out of scope,
SOYBEANS,315457000942,229272.0,SANTOS,CHINA (MAINLAND),1,315457,BR-5104609,315457000942,3154570,Branch 1,logistics hub
SOYBEANS,315457002058,2872100.0,SANTOS,CHINA (MAINLAND),1,315457,BR-5107875,315457002058,3154570,Branch 1,logistics hub
SOYBEANS,315457002139,800000.0,SANTOS,CHINA (MAINLAND),1,315457,BR-5102637,315457002139,3154570,Branch 1,logistics hub
SOYBEANS,546997000180,820500.0,PARANAGUA,BANGLADESH,2,546997,BR-3536505,546997000180,5469970,Branch 2,logistics hub
SOYBEAN CAKE,546997000180,16024559.785,PARANAGUA,DENMARK,2,546997,BR-3536505,546997000180,5469970,Branch 2,logistics hub
SOYBEAN CAKE,546997000180,2743065.197,SALVADOR,GERMANY,2,546997,BR-3536505,546997000180,5469970,Branch 2,logistics hub
SOYBEAN OIL,546997000180,2061335.005,PARANAGUA,INDIA,2,546997,BR-3536505,546997000180,5469970,Branch 2,logistics hub
SOYBEAN CAKE,546997000180,37252857.002,PARANAGUA,POLAND,2,546997,BR-3536505,546997000180,5469970,Branch 2,logistics hub
SOYBEAN CAKE,546997000180,8247999.999999999,SALVADOR,ROMANIA,2,546997,BR-3536505,546997000180,5469970,Branch 2,logistics hub
SOYBEANS,546997000180,4868972.0,PARANAGUA,THAILAND,2,546997,BR-3536505,546997000180,5469970,Branch 2,logistics hub
SOYBEAN OIL,546997000260,10930620.76,PARANAGUA,INDIA,4,546997,BR-3137106,546997000260,5469970,out of scope,
SOYBEANS,831373000295,86069565.0,SANTOS,CHINA (MAINLAND),5,831373,BR-3529302,831373000295,8313730,out of scope,
SOYBEANS,969790000118,6800000.0,VITORIA,CHINA (MAINLAND),1,969790,BR-5208707,969790000118,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,7850756.731000002,SANTOS,AUSTRALIA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,1864211.929,SANTOS,CANADA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,93790327.75,SANTOS,CHILE,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEANS,969790000541,11564419.0,VITORIA,CHINA (MAINLAND),1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,2718699.574,SANTOS,COLOMBIA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,553523.2799999999,SANTOS,COSTA RICA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
